                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.554,                 2.0196,                 1.3624,                0.76297,                0.76182,                 0.7882,                0.41261,                 1.5875,                 1.4083,                 1.4043,              0.0033295,              0.0033295,              0.0033295
                      2,                  1.491,                 1.3808,                 1.2772,                0.79727,                0.73034,                0.77572,                 0.4157,                 1.6293,                 1.1951,                 1.4407,              0.0065968,              0.0065968,              0.0065968
                      3,                 1.5485,                 1.3015,                 1.3077,                0.68844,                0.68049,                 0.7051,                0.35565,                 1.6852,                 1.5465,                 1.5027,              0.0097982,              0.0097982,              0.0097982
                      4,                 1.5494,                  1.239,                 1.3233,                0.78784,                 0.7545,                0.80551,                0.41963,                 1.6738,                 1.1716,                 1.4927,               0.009703,               0.009703,               0.009703
                      5,                 1.5284,                 1.1708,                 1.3139,                0.82204,                0.76017,                0.81395,                0.43984,                 1.6467,                 1.1323,                  1.472,               0.009604,               0.009604,               0.009604
                      6,                 1.4945,                 1.1045,                  1.296,                0.81483,                0.78129,                0.83127,                0.44762,                 1.6263,                 1.0619,                  1.474,               0.009505,               0.009505,               0.009505
                      7,                 1.4748,                 1.0652,                 1.2883,                0.75044,                0.71901,                 0.7436,                0.37912,                 1.6745,                 1.2279,                 1.4909,               0.009406,               0.009406,               0.009406
                      8,                  1.457,                 1.0196,                 1.2734,                 0.8285,                0.78979,                0.83992,                0.46693,                 1.5988,                0.99208,                 1.4499,               0.009307,               0.009307,               0.009307
                      9,                 1.4506,                 1.0002,                 1.2653,                0.81716,                0.78843,                0.84372,                0.46443,                  1.586,                 1.0001,                 1.4049,               0.009208,               0.009208,               0.009208
                     10,                 1.4438,                0.98234,                 1.2617,                0.87473,                0.80574,                0.87028,                0.49205,                 1.5781,                 0.9267,                 1.4178,               0.009109,               0.009109,               0.009109
                     11,                 1.4285,                0.95519,                 1.2564,                0.84404,                0.80951,                0.86956,                0.50357,                 1.5672,                0.90487,                 1.4234,                0.00901,                0.00901,                0.00901
                     12,                 1.4189,                0.93606,                 1.2473,                0.86598,                0.82978,                0.87573,                 0.5079,                 1.5761,                0.90427,                 1.4077,               0.008911,               0.008911,               0.008911
                     13,                 1.4117,                0.93016,                 1.2467,                0.87282,                0.82139,                0.86537,                0.50609,                 1.5395,                0.84485,                  1.387,               0.008812,               0.008812,               0.008812
                     14,                 1.4038,                0.91746,                 1.2382,                0.87183,                0.81049,                0.87443,                    0.5,                 1.5898,                0.84784,                 1.4358,               0.008713,               0.008713,               0.008713
                     15,                 1.4057,                  0.916,                 1.2402,                0.87175,                0.80907,                0.87809,                0.51143,                 1.5488,                0.83587,                 1.3944,               0.008614,               0.008614,               0.008614
                     16,                 1.3993,                 0.9015,                 1.2348,                0.87533,                0.82796,                0.88227,                0.51856,                 1.5322,                0.79902,                 1.3823,               0.008515,               0.008515,               0.008515
                     17,                 1.3909,                  0.884,                 1.2307,                0.86928,                0.84138,                0.88521,                0.51702,                 1.5372,                0.81646,                 1.3895,               0.008416,               0.008416,               0.008416
                     18,                 1.3836,                 0.8767,                 1.2269,                   0.88,                 0.8344,                0.88591,                0.51976,                 1.5299,                0.82775,                 1.3832,               0.008317,               0.008317,               0.008317
                     19,                 1.3841,                0.88118,                 1.2237,                0.86782,                0.84372,                0.89073,                0.52837,                 1.5078,                0.80421,                 1.3692,               0.008218,               0.008218,               0.008218
                     20,                 1.3841,                0.86265,                 1.2225,                0.87931,                 0.8545,                0.89247,                0.53338,                  1.508,                0.77891,                  1.359,               0.008119,               0.008119,               0.008119
